Position,E2_0min_1,E2_0min_2,E2_40min_1,E2_40min_2
-1070,1.146311999,1.041013573,1.210597392,1.171822862
-1060,1.149897226,1.043334849,1.214333888,1.174887434
-1050,1.155077793,1.045932468,1.219667806,1.177181276
-1040,1.160687215,1.047780015,1.224882377,1.178548406
-1030,1.168904075,1.051475108,1.23061106,1.181310192
-1020,1.174341955,1.055793946,1.234779044,1.183383825
-1010,1.181546718,1.062141927,1.240957575,1.188659661
-1000,1.186538589,1.066050198,1.244253404,1.19163248
-990,1.19324588,1.069650546,1.248219415,1.195412731
-980,1.198975381,1.070700647,1.249054848,1.195834798
-970,1.205854214,1.072903491,1.251414257,1.196889965
-960,1.213590756,1.075524796,1.251946731,1.197853379
-950,1.2194918,1.078967234,1.252470024,1.199358139
-940,1.226233399,1.08365716,1.254168432,1.202661271
-930,1.2319629,1.088639219,1.258428222,1.206193788
-920,1.237349318,1.094521366,1.263321472,1.210818173
-910,1.243439057,1.10084566,1.268444236,1.215864625
-900,1.249511643,1.107770012,1.274512601,1.223379251
-890,1.255035294,1.114639096,1.279828157,1.231306768
-880,1.257025181,1.12175294,1.285786355,1.238582834
-870,1.25800297,1.128858888,1.290991745,1.245290028
-860,1.259649773,1.13578324,1.297684389,1.251822889
-850,1.264761723,1.14171276,1.304092435,1.258998027
-840,1.271160238,1.148479202,1.310399494,1.265769448
-830,1.280028958,1.155482509,1.317716418,1.273366652
-820,1.287525341,1.162943755,1.32469366,1.280431685
-810,1.295141804,1.170586598,1.331771888,1.28780868
-800,1.30068261,1.177289876,1.337436307,1.293341427
-790,1.307046816,1.183345723,1.343229254,1.297451991
-780,1.313256635,1.187775098,1.349260896,1.300057795
-770,1.319826692,1.192370278,1.354301035,1.302608548
-760,1.325762044,1.195796924,1.359414619,1.305590542
-750,1.33224633,1.1988209,1.364105896,1.308444081
-740,1.33939963,1.201134281,1.369559162,1.311132464
-730,1.351853577,1.206005803,1.376279348,1.316298196
-720,1.367944212,1.212251143,1.384018578,1.322620024
-710,1.385492955,1.218322781,1.391693544,1.329061132
-700,1.399405008,1.222941648,1.398321924,1.333648815
-690,1.406626925,1.226636741,1.404004704,1.335786676
-680,1.412510814,1.230347625,1.409255997,1.338557637
-670,1.416850825,1.234224315,1.41324955,1.341769015
-660,1.423815429,1.237832558,1.417344089,1.346448453
-650,1.430814341,1.241377636,1.422310784,1.351256345
-640,1.440780929,1.245396445,1.429600166,1.356954248
-630,1.451159218,1.250102162,1.435154417,1.363597214
-620,1.459479003,1.255763235,1.439405027,1.36998327
-610,1.46731847,1.262837601,1.445078626,1.37673634
-600,1.472276033,1.267298558,1.449834167,1.379479775
-590,1.476804741,1.271459485,1.454718237,1.382314963
-580,1.479806725,1.274017627,1.45745405,1.383773847
-570,1.48289448,1.276686305,1.461732201,1.387049453
-560,1.485433301,1.278304883,1.464311945,1.388535863
-550,1.488229435,1.279268133,1.465330989,1.388673493
-540,1.495296964,1.282686884,1.467203828,1.390132376
-530,1.508419924,1.287629466,1.472381676,1.395077899
-520,1.523412692,1.293495822,1.4800291,1.401574059
-510,1.537925141,1.299243744,1.488273262,1.408428059
-500,1.550533476,1.305536457,1.497444663,1.41531876
-490,1.562695801,1.311908124,1.506046868,1.423503187
-480,1.57540706,1.320064174,1.516062883,1.433550215
-470,1.590365519,1.329065042,1.528080264,1.443890854
-460,1.60782849,1.339226549,1.541015704,1.455616973
-450,1.629580011,1.35200936,1.556521706,1.470114053
-440,1.651108527,1.366576555,1.571853277,1.485684652
-430,1.673597678,1.383662414,1.589232118,1.501154321
-420,1.696670072,1.400621944,1.605224691,1.515669752
-410,1.722041128,1.417305133,1.621391696,1.530781582
-400,1.748304202,1.434501528,1.638853162,1.548297358
-390,1.773366483,1.453087531,1.658517968,1.567317895
-380,1.800384341,1.473007874,1.680523822,1.587934945
-370,1.830781577,1.49511527,1.702979524,1.609111693
-360,1.861401817,1.516867368,1.725839172,1.628948837
-350,1.893240005,1.540538072,1.748157166,1.649299802
-340,1.924563567,1.564982535,1.771163704,1.668669002
-330,1.957808399,1.590034952,1.793711212,1.689001616
-320,1.993300431,1.614992622,1.81814074,1.709848051
-310,2.029684481,1.639484458,1.843506687,1.732162544
-300,2.067166399,1.665531708,1.869955942,1.754596317
-290,2.100908703,1.690315677,1.89469761,1.774213252
-280,2.133055666,1.714317993,1.917217576,1.793298016
-270,2.164911008,1.736820163,1.939544751,1.812869075
-260,2.195891486,1.759551303,1.961688313,1.833779737
-250,2.226220105,1.781334983,1.985723076,1.854938134
-240,2.252929188,1.802076458,2.009243726,1.874885383
-230,2.276945063,1.821088818,2.031203677,1.891905689
-220,2.295437286,1.838206258,2.05050126,1.906237613
-210,2.313174725,1.855228953,2.071533972,1.921542125
-200,2.320945576,1.864521955,2.084643843,1.93040553
-190,2.322746766,1.866819545,2.09343884,1.935130844
-180,2.314375519,1.85921618,2.094053939,1.932919581
-170,2.304975019,1.850696937,2.096330723,1.931378119
-160,2.288232524,1.83855366,2.091162056,1.924707627
-150,2.266275153,1.823315348,2.079300744,1.913073261
-140,2.240526705,1.803568707,2.061802556,1.89931021
-130,2.213165762,1.781334983,2.044276825,1.883895593
-120,2.183368923,1.756195716,2.024740548,1.86645322
-110,2.148202821,1.726784985,2.001798274,1.843707484
-100,2.107941923,1.69415289,1.974651295,1.818034807
-90,2.062912158,1.658583669,1.945163267,1.788279091
-80,2.016304208,1.621988034,1.913031231,1.756780054
-70,1.96962764,1.584650222,1.880082124,1.725244317
-60,1.925369814,1.548291451,1.846040527,1.695883142
-50,1.88492022,1.514617151,1.814257354,1.668797457
-40,1.853373653,1.486880265,1.787697931,1.646097599
-30,1.830627189,1.467788949,1.768005584,1.628370789
-20,1.81673229,1.457998531,1.754280614,1.61666302
-10,1.808738435,1.453269128,1.744686906,1.607882194
0,1.80606238,1.451397895,1.740041532,1.602358623
10,1.809801995,1.453316501,1.742263233,1.601560366
20,1.821123765,1.461875221,1.751186758,1.606083822
30,1.840731011,1.477595159,1.765774702,1.61715849
40,1.866376534,1.498834049,1.785237535,1.632995174
50,1.894629495,1.522931111,1.807665696,1.653217684
60,1.926965154,1.550896966,1.832012598,1.676440538
70,1.963400667,1.582352632,1.857507074,1.702883947
80,2.004965284,1.618403478,1.885838348,1.731364287
90,2.048142396,1.65456486,1.91506014,1.758844512
100,2.090118713,1.6886971,1.943712735,1.784342858
110,2.128612729,1.720160661,1.968904251,1.808400671
120,2.161737482,1.748947649,1.990552062,1.830338974
130,2.191277008,1.775121226,2.007839097,1.85021282
140,2.217059764,1.796754892,2.020590925,1.866177959
150,2.239754766,1.814898747,2.031580081,1.880308025
160,2.259533554,1.831155578,2.043101711,1.892758998
170,2.272587897,1.843077781,2.050611427,1.902631693
180,2.277974315,1.849986342,2.051419318,1.907256079
190,2.278214473,1.852149709,2.047242153,1.909081977
