Distance from Cente,E2_0min,E2_10min,E2_40min,E2_0min_Up,E2_10min_Up,E2_40min_Up
-1120,1.168413713,1.201692547,1.271419253,0.878403979,1.615070822,2.862193183
-1110,1.174659579,1.207417756,1.275319789,0.888005697,1.565930123,2.866744298
-1100,1.17919077,1.207791885,1.281021079,0.896179254,1.571595845,2.91204684
-1090,1.183588389,1.21432608,1.290073972,0.896649931,1.634220963,2.938989569
-1080,1.186514858,1.21704347,1.297956853,0.904818112,1.66674221,3.044658686
-1070,1.189720367,1.219546892,1.302455316,0.918027867,1.645779037,3.060439681
-1060,1.195698184,1.227768915,1.309301933,0.917065007,1.635127479,3.048195715
-1050,1.199439096,1.226193735,1.313374378,0.923545495,1.666893296,3.030757301
-1040,1.204818158,1.230342506,1.317047013,0.949938123,1.736355052,3.103645905
-1030,1.21031542,1.233806894,1.320779612,0.94944594,1.765967894,3.192210546
-1020,1.216767273,1.239835434,1.324464613,0.95256717,1.787459868,3.22382841
-1010,1.220490473,1.23962713,1.323861054,0.962639566,1.79312559,3.304780616
-1000,1.2241381,1.238490269,1.321889673,0.965998823,1.790179415,3.278196368
-990,1.231569086,1.241116723,1.324442529,0.971273048,1.864589235,3.322552969
-980,1.237152554,1.239561996,1.325368858,0.978943669,1.88279509,3.420251172
-970,1.239752003,1.237782288,1.326128069,0.978711019,2.022889518,3.511153379
-960,1.245785117,1.240339202,1.328725175,0.973188015,2.110217186,3.571278704
-950,1.251588182,1.242984849,1.333269181,0.968389844,2.169329556,3.53245049
-940,1.25756209,1.247087994,1.333043178,0.992629478,2.212086874,3.535239227
-930,1.263633832,1.255821022,1.341515606,1.013758634,2.286836638,3.60562943
-920,1.270120545,1.266493919,1.349344405,1.025767502,2.376241737,3.662761583
-910,1.274557017,1.270104624,1.35450277,1.033681527,2.376543909,3.700185898
-900,1.279290687,1.278466355,1.361931758,1.065359132,2.386704438,3.721427135
-890,1.285086504,1.288868331,1.371185198,1.104961515,2.357998111,3.685468075
-880,1.293136713,1.29824578,1.378260998,1.130883466,2.250236072,3.643980627
-870,1.298690405,1.306297887,1.383281777,1.156085959,2.19898017,3.623765747
-860,1.305708882,1.310083856,1.390036909,1.158493109,2.136732767,3.659749351
-850,1.31007473,1.316754299,1.396092726,1.172168165,2.065760151,3.649774807
-840,1.314701145,1.316512641,1.397518333,1.181066556,2.039773371,3.670842939
-830,1.32045252,1.322935133,1.409036878,1.185161399,2.043210576,3.700803384
-820,1.326611318,1.332435298,1.419313819,1.176755191,2.077053824,3.705503061
-810,1.334658917,1.340319378,1.424560898,1.187811952,2.027724268,3.680600775
-800,1.342111043,1.343291012,1.430293039,1.213982682,2.046458924,3.741177269
-790,1.346734477,1.347708186,1.436916025,1.217834122,2.074334278,3.825975901
-780,1.354329719,1.355282957,1.442599942,1.225996927,2.177148253,3.869918147
-770,1.361808205,1.363057535,1.44955092,1.249744378,2.29631728,3.972316027
-760,1.368956556,1.366429414,1.455080039,1.274222038,2.389121813,4.068171434
-750,1.377692992,1.3737276,1.462147754,1.280199591,2.366798867,4.078133706
-740,1.386683585,1.378629034,1.465728587,1.288135121,2.416166195,4.181452984
-730,1.393276614,1.379120215,1.468487554,1.28166001,2.357733711,4.210065404
-720,1.404009005,1.387686789,1.476501855,1.278051973,2.334579792,4.194803723
-710,1.410782702,1.391376158,1.480025039,1.25645214,2.333220019,4.181465255
