Distance from Center (cmd=annotatePeaks.pl GSE45822/up_hg19.bed hg19 -size 4000 -hist 10 -d GSE45822/E2_Rep1_tags GSE45822/E2_Rep2_tags GSE45822/Veh_Rep1_tags GSE45822/Veh_Rep2_tags -pc 1),E2_average,Veh_average,E2_average_Up,Veh_average_Up
-1570,0.952829164,0.932472988,1.221499881,0.596986893
-1560,0.953381779,0.931104381,1.19695586,0.583350702
-1550,0.954767924,0.932872366,1.174107091,0.592314286
-1540,0.956165227,0.933964329,1.149965252,0.593300944
-1530,0.957597592,0.935551519,1.149279504,0.583257644
-1520,0.95923461,0.937736839,1.15363932,0.573819372
-1510,0.96199489,0.940281734,1.160693842,0.59511603
-1500,0.963872727,0.94051379,1.195966452,0.576267375
-1490,0.966311074,0.940588512,1.190146667,0.594036313
-1480,0.96857851,0.944943349,1.17933965,0.611898311
-1470,0.97379927,0.949225872,1.198122218,0.612884968
-1460,0.975245888,0.951008255,1.198661159,0.619623949
-1450,0.97743532,0.953569718,1.211692321,0.622202293
-1440,0.977156762,0.954022057,1.227711802,0.635615083
-1430,0.979970673,0.956106022,1.211163427,0.632375934
-1420,0.98112177,0.957217577,1.20151272,0.647473469
-1410,0.980874912,0.958957066,1.221598404,0.647948157
-1400,0.982490401,0.961316599,1.220442094,0.635233454
-1390,0.983305698,0.960398078,1.261848198,0.64012946
-1380,0.984968059,0.962659586,1.29029152,0.668006869
-1370,0.984957319,0.962441553,1.318137568,0.662096317
-1360,0.987931051,0.964024023,1.340222163,0.669058697
-1350,0.989212596,0.964707173,1.378394619,0.682313259
-1340,0.989662767,0.964037041,1.414284598,0.690131956
-1330,0.989896124,0.96501325,1.438358057,0.67525782
-1320,0.991827357,0.966540199,1.427335855,0.663306375
-1310,0.992395696,0.96770758,1.442914916,0.666834094
-1300,0.99288767,0.968624635,1.455809319,0.670808613
-1290,0.995906167,0.96872785,1.429129628,0.659108456
-1280,0.998319254,0.97010529,1.436027296,0.670138414
-1270,0.999354208,0.972845844,1.452370533,0.657423711
-1260,1.002788182,0.975846942,1.460806598,0.650237931
-1250,1.003478553,0.978295828,1.487114249,0.649921473
-1240,1.006078427,0.979463673,1.490112617,0.650777789
-1230,1.009685737,0.982089948,1.530666071,0.658754715
-1220,1.013609713,0.98395975,1.576285184,0.646645041
-1210,1.013881779,0.987043929,1.585563851,0.66015089
-1200,1.017481145,0.99002745,1.617152347,0.648171557
-1190,1.021223051,0.992637305,1.620307568,0.655068767
-1180,1.023553334,0.994496038,1.636493951,0.666256954
-1170,1.025130933,0.997187272,1.634965601,0.6672715
-1160,1.027754945,1.001623104,1.635651349,0.678143228
-1150,1.028847361,1.003134647,1.646086326,0.670073243
-1140,1.029848089,1.002441287,1.658980728,0.690541473
-1130,1.031508525,1.004578213,1.666123725,0.687395382
-1120,1.032240297,1.005629066,1.66950418,0.684118951
-1110,1.030049458,1.005706036,1.637768878,0.688028299
-1100,1.030106885,1.00839967,1.61569433,0.677156571
-1090,1.031952,1.012290335,1.599292762,0.670008073
-1080,1.033838418,1.01162578,1.595393461,0.658280028
-1070,1.034443676,1.011815403,1.603379059,0.648171557
-1060,1.035718077,1.013816446,1.580236676,0.66139823
-1050,1.037658928,1.016023752,1.591729441,0.650368272
-1040,1.039084101,1.017304637,1.576405755,0.657647111
-1030,1.041843311,1.019792233,1.588065421,0.636573853
-1020,1.039843961,1.019745389,1.578718375,0.63037473
-1010,1.040525332,1.019015017,1.574809026,0.639114914
-1000,1.040776873,1.018266681,1.581559888,0.641655976
-990,1.038550404,1.017701233,1.572281221,0.65039616
-980,1.04187705,1.019229811,1.572438075,0.644131867
-970,1.042563724,1.021885658,1.581099373,0.656334601
-960,1.041975711,1.020718671,1.590838555,0.657795946
-950,1.043395832,1.022913977,1.618057188,0.661891412
-940,1.045190864,1.022708259,1.651712974,0.680516667
-930,1.046805951,1.023118246,1.692952176,0.688940392
-920,1.047018098,1.024078971,1.696783098,0.701115237
-910,1.048881331,1.027057611,1.704454988,0.713224912
-900,1.048542468,1.027105464,1.713429995,0.698509005
-890,1.048398221,1.028641939,1.730605786,0.697838806
-880,1.049494852,1.03040884,1.768631435,0.680963466
-870,1.049867438,1.029821869,1.767338366,0.688596046
-860,1.052453712,1.031486332,1.774177703,0.687041642
-850,1.056468973,1.034930858,1.796340725,0.674419997
-840,1.057919589,1.036461295,1.839510459,0.676961059
-830,1.058936694,1.038682852,1.849484922,0.692347165
